Time,Volts
2021-01-30 19:01:17.844324,59.32
2021-01-30 19:01:18.844924,59.32
2021-01-30 19:01:19.845705,59.32
2021-01-30 19:01:20.847272,59.32
2021-01-30 19:01:21.847938,59.37
2021-01-30 19:01:22.848891,59.25
2021-01-30 19:01:23.849417,59.32
2021-01-30 19:01:24.850409,58.87
2021-01-30 19:01:25.851514,59.07
2021-01-30 19:01:26.853144,58.06
2021-01-30 19:01:27.854065,59.25
2021-01-30 19:01:28.854593,59.19
2021-01-30 19:01:29.856128,59.25
2021-01-30 19:01:30.856046,59.25
2021-01-30 19:01:31.858226,59.25
