Time,Volts,Percent,rpm
2021-02-02 17:18:23.059975,59.19,0,0
2021-02-02 17:18:24.060103,59.19,0,0
2021-02-02 17:18:25.060932,59.12,0,0
2021-02-02 17:18:26.062190,59.19,0,0
2021-02-02 17:18:27.063058,59.19,0,0
2021-02-02 17:18:28.064104,59.19,0,0
2021-02-02 17:18:29.064851,59.19,0,0
2021-02-02 17:18:30.065970,59.19,0,0
2021-02-02 17:18:31.066757,59.19,0,0
2021-02-02 17:18:32.067761,59.19,0,0
2021-02-02 17:18:33.068623,59.19,0,0
2021-02-02 17:18:34.069636,59.19,0,0
2021-02-02 17:18:35.070477,59.19,0,0
2021-02-02 17:18:36.071090,59.19,0,0
2021-02-02 17:18:37.072703,59.19,0,0
2021-02-02 17:18:38.073068,59.19,0,0
2021-02-02 17:18:39.074158,59.12,0,0
2021-02-02 17:18:40.074883,59.19,0,0
2021-02-02 17:18:41.076131,59.19,0,0
2021-02-02 17:18:42.077639,59.19,0,0
2021-02-02 17:18:43.078460,58.75,25,1638
2021-02-02 17:18:44.080103,57.62,54,5902
2021-02-02 17:18:45.081027,57.56,54,6240
2021-02-02 17:18:46.081872,57.50,54,6240
2021-02-02 17:18:47.082271,57.56,54,6240
2021-02-02 17:18:48.083792,57.37,54,6240
2021-02-02 17:18:49.084595,57.18,54,6214
2021-02-02 17:18:50.085759,57.31,54,6214
2021-02-02 17:18:51.086239,57.31,54,6214
2021-02-02 17:18:52.087269,57.25,54,6214
2021-02-02 17:18:53.088562,57.18,54,6214
2021-02-02 17:18:54.088183,57.18,54,6214
2021-02-02 17:18:55.090331,57.50,54,6214
2021-02-02 17:18:56.091181,57.25,54,6214
2021-02-02 17:18:57.091422,57.18,54,6214
2021-02-02 17:18:58.093075,57.12,54,6214
2021-02-02 17:18:59.094019,57.12,54,6214
2021-02-02 17:19:00.094782,57.12,54,6188
2021-02-02 17:19:01.095393,57.12,54,6214
2021-02-02 17:19:02.096714,56.99,54,6214
2021-02-02 17:19:03.097572,57.02,54,6214
2021-02-02 17:19:04.097728,57.06,54,6214
2021-02-02 17:19:05.099187,56.99,54,6214
2021-02-02 17:19:06.100301,56.99,54,6214
2021-02-02 17:19:07.100984,56.99,54,6214
2021-02-02 17:19:08.102114,57.12,54,6188
2021-02-02 17:19:09.103029,57.06,54,6188
2021-02-02 17:19:10.103242,56.93,54,6188
2021-02-02 17:19:11.104570,56.93,54,6188
2021-02-02 17:19:12.105790,56.93,55,6188
2021-02-02 17:19:13.106128,56.93,55,6240
2021-02-02 17:19:14.107578,57.06,55,6240
2021-02-02 17:19:15.108442,56.93,55,6240
2021-02-02 17:19:16.109369,56.87,55,6240
2021-02-02 17:19:17.109382,56.93,55,6214
2021-02-02 17:19:18.111314,56.87,55,6240
2021-02-02 17:19:19.111898,56.87,55,6240
2021-02-02 17:19:20.112788,56.87,55,6240
2021-02-02 17:19:21.113980,56.89,55,6240
2021-02-02 17:19:22.113770,56.81,55,6240
2021-02-02 17:19:23.115385,56.74,55,6266
2021-02-02 17:19:24.116114,56.74,55,6266
2021-02-02 17:19:25.117594,56.93,55,6266
2021-02-02 17:19:26.118067,56.74,55,6266
2021-02-02 17:19:27.118549,56.93,55,6266
2021-02-02 17:19:28.120423,56.62,55,6292
2021-02-02 17:19:29.119998,58.12,74,0
2021-02-02 17:19:30.121622,58.19,100,0
2021-02-02 17:19:31.121757,58.19,100,0
2021-02-02 17:19:32.123792,58.37,100,0
2021-02-02 17:19:33.123525,58.37,100,0
2021-02-02 17:19:34.124540,58.44,100,0
2021-02-02 17:19:35.125266,58.44,100,0
2021-02-02 17:19:36.126333,58.44,100,0
2021-02-02 17:19:37.127400,58.44,100,0
2021-02-02 17:19:38.127532,58.44,100,0
2021-02-02 17:19:39.129029,58.50,100,0
2021-02-02 17:19:40.129894,58.50,100,0
2021-02-02 17:19:41.130797,58.56,100,0
2021-02-02 17:19:42.132872,58.56,100,0
2021-02-02 17:19:43.132753,58.56,100,0
2021-02-02 17:19:44.132679,58.62,100,0
2021-02-02 17:19:45.134552,58.56,100,0
2021-02-02 17:19:46.135764,58.62,100,0
2021-02-02 17:19:47.136116,58.56,100,0
2021-02-02 17:19:48.137006,58.56,100,0
2021-02-02 17:19:49.138252,58.65,100,0
2021-02-02 17:19:50.139104,58.62,100,0
2021-02-02 17:19:51.139721,58.62,100,0
2021-02-02 17:19:52.141524,58.75,100,0
2021-02-02 17:19:53.141511,58.62,100,0
2021-02-02 17:19:54.142941,57.75,100,0
2021-02-02 17:19:55.143252,56.62,100,0
2021-02-02 17:19:56.144407,55.49,100,0
2021-02-02 17:19:57.145322,54.46,100,0
2021-02-02 17:19:58.146035,53.10,100,0
2021-02-02 17:19:59.147149,51.78,100,0
2021-02-02 17:20:00.148037,50.46,100,0
2021-02-02 17:20:01.149191,49.15,100,0
2021-02-02 17:20:02.150020,47.83,100,0
2021-02-02 17:20:03.150707,46.57,100,0
2021-02-02 17:20:04.151648,45.19,100,0
2021-02-02 17:20:05.153515,43.87,100,0
2021-02-02 17:20:06.153421,42.24,100,0
2021-02-02 17:20:07.154242,40.86,100,0
2021-02-02 17:20:08.156020,39.29,100,0
2021-02-02 17:20:09.155960,37.71,100,0
2021-02-02 17:20:10.157167,36.03,100,0
2021-02-02 17:20:11.157995,34.39,100,0
2021-02-02 17:20:12.158381,32.57,100,0
2021-02-02 17:20:13.159763,30.75,100,0
2021-02-02 17:20:14.161929,28.81,100,0
2021-02-02 17:20:15.161707,26.80,100,0
2021-02-02 17:20:16.163093,24.54,100,0
2021-02-02 17:20:17.164037,22.03,100,0
2021-02-02 17:20:18.164359,19.44,100,0
2021-02-02 17:20:19.165547,16.50,100,0
2021-02-02 17:20:20.167013,13.04,100,0
2021-02-02 17:20:21.166915,9.34,100,0
2021-02-02 17:20:22.167335,8.22,100,0
